,Unnamed: 0.3,date,period,demand,wind
1056,1056,2016-02-13,1,521.1790254545455,103.87568296130706
1057,1057,2016-02-13,2,525.1098065454546,100.0401722607581
1058,1058,2016-02-13,3,527.0099258181818,84.58885564942965
1059,1059,2016-02-13,4,520.9034356363636,101.85411749235676
1060,1060,2016-02-13,5,512.534208,106.90256747427595
1061,1061,2016-02-13,6,510.619584,105.41644367007464
1062,1062,2016-02-13,7,511.4028392727273,105.8535389066044
1063,1063,2016-02-13,8,504.817693090909,91.9539103849568
1064,1064,2016-02-13,9,496.5499985454546,88.28231039810645
1065,1065,2016-02-13,10,492.4451607272728,70.47067950951708
1066,1066,2016-02-13,11,493.3444538181818,49.94905815444295
1067,1067,2016-02-13,12,497.1446923636364,67.45472237746147
1068,1068,2016-02-13,13,502.9755927272728,85.91106873993228
1069,1069,2016-02-13,14,506.3551941818182,90.27109372431704
1070,1070,2016-02-13,15,528.9100450909091,90.43500443801572
1071,1071,2016-02-13,16,544.2270370909091,68.8206449916171
1072,1072,2016-02-13,17,574.8610210909092,69.38886879910584
1073,1073,2016-02-13,18,601.4771956363636,86.7415496893389
1074,1074,2016-02-13,19,627.6147141818182,68.29613070778133
1075,1075,2016-02-13,20,638.5947927272728,83.78022946184952
1076,1076,2016-02-13,21,644.6577687272727,104.06144843683224
1077,1077,2016-02-13,22,644.9333585454546,88.0746901607548
1078,1078,2016-02-13,23,646.9785250909091,67.7060521384661
1079,1079,2016-02-13,24,642.7576494545455,43.26150103553701
1080,1080,2016-02-13,25,642.5110690909092,74.80884973207534
1081,1081,2016-02-13,26,640.4223883636364,88.78496992011573
1082,1082,2016-02-13,27,637.579461818182,107.97345080377394
1083,1083,2016-02-13,28,634.8815825454546,120.95517932870904
1084,1084,2016-02-13,29,635.5488,103.70084486669518
1085,1085,2016-02-13,30,633.5036334545455,92.39100562148658
1086,1086,2016-02-13,31,636.6946734545454,107.83139485190178
1087,1087,2016-02-13,32,644.2806458181818,108.17014366021236
1088,1088,2016-02-13,33,655.2172101818182,107.67841151911634
1089,1089,2016-02-13,34,676.6987112727272,97.48316512705874
1090,1090,2016-02-13,35,704.6783301818182,124.9764555047832
1091,1091,2016-02-13,36,733.0640814545454,138.11116736250372
1092,1092,2016-02-13,37,730.8158487272729,137.61943522140768
1093,1093,2016-02-13,38,719.9082938181818,101.02363654295011
1094,1094,2016-02-13,39,701.8208989090908,120.52901147309248
1095,1095,2016-02-13,40,676.4376261818182,119.3160721917223
1096,1096,2016-02-13,41,655.9569512727275,114.63915316085344
1097,1097,2016-02-13,42,635.4327621818182,133.82763404451168
1098,1098,2016-02-13,43,615.4742574545455,132.87695190505934
1099,1099,2016-02-13,44,590.5696407272727,136.65782570104213
1100,1100,2016-02-13,45,570.13248,126.32052335711234
1101,1101,2016-02-13,46,551.8855330909091,120.6492126631382
1102,1102,2016-02-13,47,527.691648,93.35261514185214
1103,1103,2016-02-13,48,513.4770152727272,98.79445083664817
1104,1104,2016-02-14,1,509.5462341818182,107.9843781846872
1105,1105,2016-02-14,2,511.6929338181818,83.95506755646143
1106,1106,2016-02-14,3,517.2627490909091,72.69986521581907
